,ground CCSDE,1A1 (4s),2A1 (3pz),3A1 (3s),4A1 (3d),5A1 (3pz),1A2 (3d),2A2 (4d),1B1 (5px),2B1 (3px),3B1 (3d),4B1 (4px),5B1 (4d), 1B1 (2py),2B2 (3py),3B2 (3d),4B2 (4py),5B2 (4d)
3.5,-3.360987422,-3.025669506,-3.016959211,-2.957184915,-2.956313344,-2.948865526,-2.955584853,-2.900285287,-3.025669282,-2.956578991,-2.955951409,-2.925782117,-2.891293977,-3.025669282,-2.956578991,-2.955951409,-2.925782117,-2.891337829
3.51,-3.36098826,-3.025666388,-3.01705725,-2.957169153,-2.956309158,-2.948872256,-2.955580898,-2.90023014,-3.025663297,-2.956571321,-2.955945661,-2.925782329,-2.891337829,-3.025663297,-2.956571321,-2.955945661,-2.925782329,-2.891381305
3.52,-3.360989066,-3.025663323,-3.017154386,-2.957153527,-2.956305026,-2.948878874,-2.955577006,-2.900174958,-3.025657406,-2.95656371,-2.955939991,-2.925782499,-2.891381305,-3.025657406,-2.95656371,-2.955939991,-2.925782499,-2.891424408
3.53,-3.360989843,-3.02566031,-3.017250622,-2.957138037,-2.956300947,-2.948885382,-2.955573174,-2.90011974,-3.025651607,-2.956556156,-2.955934398,-2.925782624,-2.891424408,-3.025651607,-2.956556156,-2.955934398,-2.925782624,-2.891467127
3.54,-3.36099059,-3.025657346,-3.017345961,-2.957122683,-2.956296919,-2.948891781,-2.955569402,-2.900064488,-3.025645899,-2.956548658,-2.955928881,-2.925782702,-2.891467127,-3.025645899,-2.956548658,-2.955928881,-2.925782702,-2.891509482
3.55,-3.36099131,-3.025654431,-3.017440406,-2.957107465,-2.956292941,-2.948898074,-2.955565688,-2.900009199,-3.025640279,-2.956541214,-2.955923438,-2.925782732,-2.891509482,-3.025640279,-2.956541214,-2.955923438,-2.925782732,-2.891551463
3.56,-3.360992003,-3.025651565,-3.017533958,-2.957092383,-2.956289011,-2.948904262,-2.955562032,-2.899953874,-3.025634746,-2.956533824,-2.955918068,-2.925782715,-2.891551463,-3.025634746,-2.956533824,-2.955918068,-2.925782715,-2.891593071
3.57,-3.36099267,-3.025648746,-3.017626621,-2.957077438,-2.956285129,-2.948910347,-2.955558432,-2.899898514,-3.025629299,-2.956526486,-2.95591277,-2.925782649,-2.891593071,-3.025629299,-2.956526486,-2.95591277,-2.925782649,-2.891634305
3.58,-3.360993312,-3.025645973,-3.017718398,-2.957062628,-2.956281294,-2.948916331,-2.955554887,-2.899843116,-3.025623937,-2.9565192,-2.955907542,-2.925782534,-2.891634305,-3.025623937,-2.9565192,-2.955907542,-2.925782534,-2.891675167
3.59,-3.360993929,-3.025643245,-3.017809292,-2.957047954,-2.956277503,-2.948922215,-2.955551396,-2.899787683,-3.025618657,-2.956511966,-2.955902385,-2.925782368,-2.891675167,-3.025618657,-2.956511966,-2.955902385,-2.925782368,-2.891715656
3.6,-3.360994523,-3.025640562,-3.017899307,-2.957033416,-2.956273756,-2.948928002,-2.955547958,-2.899732212,-3.025613458,-2.956504781,-2.955897295,-2.925782152,-2.891715656,-3.025613458,-2.956504781,-2.955897295,-2.925782152,-2.891755773
3.61,-3.360995095,-3.025637922,-3.017988445,-2.957019013,-2.956270052,-2.948933693,-2.955544573,-2.899676705,-3.025608339,-2.956497646,-2.955892274,-2.925781884,-2.891755773,-3.025608339,-2.956497646,-2.955892274,-2.925781884,-2.891795519
3.62,-3.360995644,-3.025635325,-3.018076712,-2.957004746,-2.95626639,-2.94893929,-2.955541238,-2.899621161,-3.025603298,-2.956490561,-2.955887318,-2.925781565,-2.891795519,-3.025603298,-2.956490561,-2.955887318,-2.925781565,-2.891834892
3.63,-3.360996173,-3.025632769,-3.01816411,-2.956990614,-2.956262768,-2.948944795,-2.955537954,-2.899565581,-3.025598334,-2.956483523,-2.955882428,-2.925781192,-2.891834892,-3.025598334,-2.956483523,-2.955882428,-2.925781192,-2.891873895
3.64,-3.360996681,-3.025630255,-3.018250644,-2.956976617,-2.956259185,-2.948950211,-2.95553472,-2.899509963,-3.025593446,-2.956476532,-2.955877602,-2.925780767,-2.891873895,-3.025593446,-2.956476532,-2.955877602,-2.925780767,-2.891912527
3.65,-3.36099717,-3.025627781,-3.018336317,-2.956962756,-2.956255641,-2.948955539,-2.955531534,-2.899454309,-3.025588633,-2.956469589,-2.95587284,-2.925780288,-2.891912527,-3.025588633,-2.956469589,-2.95587284,-2.925780288,-2.891950789
3.66,-3.36099764,-3.025625346,-3.018421133,-2.956949029,-2.956252134,-2.948960781,-2.955528395,-2.899398618,-3.025583893,-2.956462691,-2.95586814,-2.925779755,-2.891950789,-3.025583893,-2.956462691,-2.95586814,-2.925779755,-2.89198868
3.67,-3.360998091,-3.025622949,-3.018505098,-2.956935437,-2.956248662,-2.94896594,-2.955525303,-2.89934289,-3.025579224,-2.95645584,-2.955863501,-2.925779168,-2.89198868,-3.025579224,-2.95645584,-2.955863501,-2.925779168,-2.892026202
3.68,-3.360998525,-3.025620591,-3.018588214,-2.956921979,-2.956245226,-2.948971017,-2.955522258,-2.899287126,-3.025574627,-2.956449033,-2.955858922,-2.925778525,-2.892026202,-3.025574627,-2.956449033,-2.955858922,-2.925778525,-2.892063355
3.69,-3.360998942,-3.025618269,-3.018670487,-2.956908656,-2.956241824,-2.948976014,-2.955519257,-2.899231325,-3.025570099,-2.956442271,-2.955854403,-2.925777827,-2.892063355,-3.025570099,-2.956442271,-2.955854403,-2.925777827,-2.892100139
3.7,-3.360999343,-3.025615983,-3.018751922,-2.956895467,-2.956238454,-2.948980934,-2.955516301,-2.899175488,-3.025565639,-2.956435552,-2.955849942,-2.925777073,-2.892100139,-3.025565639,-2.956435552,-2.955849942,-2.925777073,-2.892136555
3.71,-3.360999728,-3.025613734,-3.018832522,-2.956882412,-2.956235116,-2.948985779,-2.955513388,-2.899119615,-3.025561247,-2.956428877,-2.955845539,-2.925776262,-2.892136555,-3.025561247,-2.956428877,-2.955845539,-2.925776262,-2.892172603
3.72,-3.361000097,-3.025611519,-3.018912293,-2.956869491,-2.956231809,-2.94899055,-2.955510518,-2.899063706,-3.02555692,-2.956422245,-2.955841193,-2.925775395,-2.892172603,-3.02555692,-2.956422245,-2.955841193,-2.925775395,-2.892208283
3.73,-3.361000452,-3.025609338,-3.018991239,-2.956856703,-2.956228532,-2.948995251,-2.95550769,-2.899007762,-3.025552659,-2.956415656,-2.955836903,-2.925774471,-2.892208283,-3.025552659,-2.956415656,-2.955836903,-2.925774471,-2.892243595
3.74,-3.361000793,-3.025607191,-3.019069365,-2.956844049,-2.956225283,-2.948999882,-2.955504904,-2.898951782,-3.025548461,-2.956409108,-2.955832668,-2.925773489,-2.892243595,-3.025548461,-2.956409108,-2.955832668,-2.925773489,-2.892278541
3.75,-3.36100112,-3.025605076,-3.019146677,-2.956831528,-2.956222062,-2.949004447,-2.955502158,-2.898895766,-3.025544327,-2.956402602,-2.955828487,-2.92577245,-2.892278541,-3.025544327,-2.956402602,-2.955828487,-2.92577245,-2.89231312
3.76,-3.361001434,-3.025602994,-3.019223179,-2.956819141,-2.956218868,-2.949008947,-2.955499453,-2.898839716,-3.025540254,-2.956396137,-2.955824359,-2.925771352,-2.89231312,-3.025540254,-2.956396137,-2.955824359,-2.925771352,-2.892347332
3.77,-3.361001735,-3.025600943,-3.019298876,-2.956806886,-2.956215699,-2.949013384,-2.955496786,-2.898783631,-3.025536242,-2.956389712,-2.955820284,-2.925770196,-2.892347332,-3.025536242,-2.956389712,-2.955820284,-2.925770196,-2.892381179
3.78,-3.361002024,-3.025598923,-3.019373774,-2.956794763,-2.956212555,-2.949017761,-2.955494159,-2.898727511,-3.025532291,-2.956383328,-2.95581626,-2.925768981,-2.892381179,-3.025532291,-2.956383328,-2.95581626,-2.925768981,-2.892414659
3.79,-3.361002301,-3.025596934,-3.019447877,-2.956782773,-2.956209435,-2.94902208,-2.955491569,-2.898671357,-3.025528398,-2.956376984,-2.955812288,-2.925767707,-2.892414659,-3.025528398,-2.956376984,-2.955812288,-2.925767707,-2.892447774
3.8,-3.361002567,-3.025594974,-3.019521192,-2.956770915,-2.956206337,-2.949026343,-2.955489017,-2.89861517,-3.025524563,-2.956370679,-2.955808366,-2.925766374,-2.892447774,-3.025524563,-2.956370679,-2.955808366,-2.925766374,-2.892480524
3.81,-3.361002822,-3.025593043,-3.019593723,-2.956759189,-2.956203261,-2.949030552,-2.955486501,-2.898558949,-3.025520785,-2.956364413,-2.955804494,-2.925764981,-2.892480524,-3.025520785,-2.956364413,-2.955804494,-2.925764981,-2.892512909
3.82,-3.361003066,-3.025591141,-3.019665476,-2.956747595,-2.956200205,-2.949034709,-2.955484022,-2.898502695,-3.025517063,-2.956358187,-2.95580067,-2.925763528,-2.892512909,-3.025517063,-2.956358187,-2.95580067,-2.925763528,-2.892544922
3.83,-3.361003301,-3.025589265,-3.019736456,-2.956736133,-2.956197169,-2.949038817,-2.955481578,-2.898446409,-3.025513396,-2.956351999,-2.955796894,-2.925762015,-2.892544922,-3.025513396,-2.956351999,-2.955796894,-2.925762015,-2.892576578
3.84,-3.361003525,-3.025587419,-3.019806669,-2.956724802,-2.956194152,-2.949042877,-2.955479169,-2.89839009,-3.025509784,-2.956345848,-2.955793166,-2.925760442,-2.892576578,-3.025509784,-2.956345848,-2.955793166,-2.925760442,-2.89260787
3.85,-3.36100374,-3.025585599,-3.01987612,-2.956713602,-2.956191152,-2.949046892,-2.955476794,-2.898333739,-3.025506225,-2.956339736,-2.955789484,-2.925758808,-2.89260787,-3.025506225,-2.956339736,-2.955789484,-2.925758808,-2.892638797
3.86,-3.361003947,-3.025583806,-3.019944815,-2.956702532,-2.95618817,-2.949050864,-2.955474454,-2.898277348,-3.025502719,-2.956333661,-2.955785848,-2.925757113,-2.892638797,-3.025502719,-2.956333661,-2.955785848,-2.925757113,-2.892669361
3.87,-3.361004144,-3.025582038,-3.02001276,-2.956691594,-2.956185202,-2.949054795,-2.955472147,-2.898220935,-3.025499265,-2.95632762,-2.955782257,-2.925755357,-2.892669361,-3.025499265,-2.95632762,-2.955782257,-2.925755357,-2.892699561
3.88,-3.361004333,-3.025580296,-3.02007996,-2.956680786,-2.95618225,-2.949058688,-2.955469872,-2.898164491,-3.025495862,-2.956321619,-2.955778711,-2.92575354,-2.892699561,-3.025495862,-2.956321619,-2.955778711,-2.92575354,-2.892729397
3.89,-3.361004514,-3.025578579,-3.020146421,-2.956670108,-2.956179311,-2.949062543,-2.95546763,-2.898108017,-3.025492509,-2.956315656,-2.955775209,-2.925751662,-2.892729397,-3.025492509,-2.956315656,-2.955775209,-2.925751662,-2.892758869
3.9,-3.361004688,-3.025576886,-3.020212147,-2.956659557,-2.956176385,-2.949066365,-2.955465411,-2.898051514,-3.025489205,-2.956309728,-2.95577175,-2.925749722,-2.892758869,-3.025489205,-2.956309728,-2.95577175,-2.925749722,-2.892787978
3.91,-3.361004854,-3.025575217,-3.020277147,-2.956649139,-2.956173471,-2.949070153,-2.955463232,-2.897994981,-3.02548595,-2.956303837,-2.955768334,-2.92574772,-2.892787978,-3.02548595,-2.956303837,-2.955768334,-2.92574772,-2.892816724
3.92,-3.361005013,-3.025573571,-3.020341425,-2.956638851,-2.956170567,-2.949073912,-2.955461084,-2.89793842,-3.025482744,-2.956297982,-2.95576496,-2.925745655,-2.892816724,-3.025482744,-2.956297982,-2.95576496,-2.925745655,-2.892845106
3.93,-3.361005164,-3.025571949,-3.020404986,-2.956628692,-2.956167674,-2.949077642,-2.955458966,-2.89788183,-3.025479584,-2.956292163,-2.955761627,-2.925743529,-2.892845106,-3.025479584,-2.956292163,-2.955761627,-2.925743529,-2.892873125
3.94,-3.36100531,-3.025570349,-3.020467838,-2.956618662,-2.956164789,-2.949081346,-2.955456878,-2.897825213,-3.025476471,-2.956286379,-2.955758335,-2.92574134,-2.892873125,-3.025476471,-2.956286379,-2.955758335,-2.92574134,-2.892900781
3.95,-3.361005449,-3.025568771,-3.020529984,-2.956608762,-2.956161912,-2.949085026,-2.955454819,-2.897768568,-3.025473403,-2.95628063,-2.955755083,-2.925739089,-2.892900781,-3.025473403,-2.95628063,-2.955755083,-2.925739089,-2.892928073
3.96,-3.361005582,-3.025567215,-3.020591432,-2.95659899,-2.956159041,-2.949088685,-2.955452789,-2.897711897,-3.025470381,-2.956274917,-2.95575187,-2.925736775,-2.892928073,-3.025470381,-2.956274917,-2.95575187,-2.925736775,-2.892928073
3.97,-3.361005709,-3.02556568,-3.020652188,-2.956589347,-2.956156177,-2.949092323,-2.955450787,-2.8976552,-3.025467402,-2.956269238,-2.955748697,-2.925734398,-2.892955002,-3.025467402,-2.956269238,-2.955748697,-2.925734398,-2.892955002
3.98,-3.36100583,-3.025564165,-3.020712256,-2.956579832,-2.956153317,-2.949095943,-2.955448813,-2.897598477,-3.025464468,-2.956263593,-2.955745562,-2.925731958,-2.892981568,-3.025464468,-2.956263593,-2.955745562,-2.925731958,-2.892981568
3.99,-3.361005946,-3.025562672,-3.020771643,-2.956570446,-2.956150461,-2.949099548,-2.955446866,-2.897541729,-3.025461576,-2.956257984,-2.955742464,-2.925729455,-2.893007771,-3.025461576,-2.956257984,-2.955742464,-2.925729455,-2.893007771
4,-3.361006057,-3.025561198,-3.020830355,-2.956561187,-2.956147609,-2.949103139,-2.955444947,-2.897484956,-3.025458727,-2.956252408,-2.955739404,-2.925726889,-2.89303361,-3.025458727,-2.956252408,-2.955739404,-2.925726889,-2.89303361
4.01,-3.361006162,-3.025559744,-3.020888397,-2.956552057,-2.956144758,-2.949106718,-2.955443054,-2.89742816,-3.02545592,-2.956246866,-2.955736381,-2.925724259,-2.893059086,-3.02545592,-2.956246866,-2.955736381,-2.925724259,-2.893059086
4.02,-3.361006263,-3.025558309,-3.020945776,-2.956543054,-2.956141908,-2.949110287,-2.955441188,-2.89737134,-3.025453154,-2.956241359,-2.955733394,-2.925721565,-2.893084199,-3.025453154,-2.956241359,-2.955733394,-2.925721565,-2.893084199
4.03,-3.36100636,-3.025556894,-3.021002497,-2.956534178,-2.956139057,-2.949113849,-2.955439347,-2.897314497,-3.025450428,-2.956235885,-2.955730443,-2.925718808,-2.893108947,-3.025450428,-2.956235885,-2.955730443,-2.925718808,-2.893108947
4.04,-3.361006451,-3.025555497,-3.021058567,-2.95652543,-2.956136206,-2.949117404,-2.955437532,-2.897257632,-3.025447742,-2.956230444,-2.955727526,-2.925715987,-2.893133332,-3.025447742,-2.956230444,-2.955727526,-2.925715987,-2.893133332
4.05,-3.361006539,-3.025554118,-3.02111399,-2.956516808,-2.956133354,-2.949120956,-2.955435742,-2.897200746,-3.025445095,-2.956225037,-2.955724644,-2.925713102,-2.893157353,-3.025445095,-2.956225037,-2.955724644,-2.925713102,-2.893157353
4.06,-3.361006623,-3.025552757,-3.021168774,-2.956508314,-2.956130498,-2.949124506,-2.955433977,-2.897143838,-3.025442487,-2.956219663,-2.955721797,-2.925710153,-2.89318101,-3.025442487,-2.956219663,-2.955721797,-2.925710153,-2.89318101
4.07,-3.361006703,-3.025551413,-3.021222923,-2.956499946,-2.956127638,-2.949128055,-2.955432235,-2.897086911,-3.025439917,-2.956214322,-2.955718982,-2.92570714,-2.893204303,-3.025439917,-2.956214322,-2.955718982,-2.92570714,-2.893204303
4.08,-3.361006779,-3.025550087,-3.021276444,-2.956491704,-2.956124774,-2.949131607,-2.955430518,-2.897029963,-3.025437385,-2.956209013,-2.955716201,-2.925704062,-2.893227231,-3.025437385,-2.956209013,-2.955716201,-2.925704062,-2.893227231
4.09,-3.361006851,-3.025548778,-3.021329342,-2.956483588,-2.956121904,-2.949135162,-2.955428824,-2.896972996,-3.025434889,-2.956203738,-2.955713453,-2.92570092,-2.893249795,-3.025434889,-2.956203738,-2.955713453,-2.92570092,-2.893249795
4.1,-3.36100692,-3.025547485,-3.021381623,-2.956475598,-2.956119028,-2.949138723,-2.955427154,-2.896916011,-3.02543243,-2.956198495,-2.955710736,-2.925697713,-2.893271993,-3.02543243,-2.956198495,-2.955710736,-2.925697713,-2.893271993
4.11,-3.361006986,-3.025546209,-3.021433294,-2.956467734,-2.956116144,-2.949142291,-2.955425506,-2.896859007,-3.025430007,-2.956193284,-2.955708051,-2.925694442,-2.893293826,-3.025430007,-2.956193284,-2.955708051,-2.925694442,-2.893293826
4.12,-3.361007048,-3.025544949,-3.02148436,-2.956459994,-2.956113252,-2.949145868,-2.95542388,-2.896801987,-3.025427619,-2.956188106,-2.955705397,-2.925691106,-2.893315294,-3.025427619,-2.956188106,-2.955705397,-2.925691106,-2.893315294
4.13,-3.361007108,-3.025543705,-3.021534826,-2.95645238,-2.956110351,-2.949149456,-2.955422277,-2.896744949,-3.025425265,-2.956182959,-2.955702774,-2.925687705,-2.893336396,-3.025425265,-2.956182959,-2.955702774,-2.925687705,-2.893336396
4.14,-3.361007164,-3.025542476,-3.021584699,-2.95644489,-2.956107441,-2.949153058,-2.955420696,-2.896687896,-3.025422946,-2.956177845,-2.95570018,-2.925684239,-2.893357132,-3.025422946,-2.956177845,-2.95570018,-2.925684239,-2.893357132
4.15,-3.361007218,-3.025541262,-3.021633983,-2.956437525,-2.956104519,-2.949156673,-2.955419135,-2.896630827,-3.025420661,-2.956172763,-2.955697617,-2.925680709,-2.893377502,-3.025420661,-2.956172763,-2.955697617,-2.925680709,-2.893377502
4.16,-3.361007269,-3.025540063,-3.021682686,-2.956430283,-2.956101587,-2.949160306,-2.955417597,-2.896573744,-3.025418409,-2.956167712,-2.955695083,-2.925677113,-2.893397505,-3.025418409,-2.956167712,-2.955695083,-2.925677113,-2.893397505
4.17,-3.361007318,-3.025538879,-3.021730812,-2.956423164,-2.956098642,-2.949163956,-2.955416078,-2.896516646,-3.025416189,-2.956162693,-2.955692577,-2.925673452,-2.89341714,-3.025416189,-2.956162693,-2.955692577,-2.925673452,-2.89341714
4.18,-3.361007364,-3.025537709,-3.021778368,-2.956416169,-2.956095685,-2.949167626,-2.955414581,-2.896459535,-3.025414002,-2.956157705,-2.9556901,-2.925669725,-2.893436408,-3.025414002,-2.956157705,-2.9556901,-2.925669725,-2.893436408
4.19,-3.361007408,-3.025536553,-3.021825358,-2.956409296,-2.956092715,-2.949171318,-2.955413103,-2.896402412,-3.025411847,-2.956152748,-2.955687651,-2.925665934,-2.893455309,-3.025411847,-2.956152748,-2.955687651,-2.925665934,-2.893455309
4.2,-3.36100745,-3.025535411,-3.021871789,-2.956402545,-2.956089731,-2.949175032,-2.955411646,-2.896345276,-3.025409723,-2.956147823,-2.955685229,-2.925662077,-2.893473841,-3.025409723,-2.956147823,-2.955685229,-2.925662077,-2.893473841
4.21,-3.361007489,-3.025534283,-3.021917667,-2.956395915,-2.956086732,-2.949178772,-2.955410207,-2.896288129,-3.025407629,-2.956142929,-2.955682834,-2.925658154,-2.893492004,-3.025407629,-2.956142929,-2.955682834,-2.925658154,-2.893492004
4.22,-3.361007527,-3.025533169,-3.021962996,-2.956389406,-2.956083718,-2.949182538,-2.955408789,-2.896230971,-3.025405566,-2.956138065,-2.955680466,-2.925654166,-2.893509799,-3.025405566,-2.956138065,-2.955680466,-2.925654166,-2.893509799
4.23,-3.361007562,-3.025532067,-3.022007782,-2.956383017,-2.95608069,-2.949186333,-2.955407389,-2.896173803,-3.025403533,-2.956133233,-2.955678125,-2.925650112,-2.893527223,-3.025403533,-2.956133233,-2.955678125,-2.925650112,-2.893527223
4.24,-3.361007596,-3.025530979,-3.022052031,-2.956376748,-2.956077646,-2.949190157,-2.955406007,-2.896116625,-3.02540153,-2.956128431,-2.955675809,-2.925645993,-2.893544278,-3.02540153,-2.956128431,-2.955675809,-2.925645993,-2.893544278
4.25,-3.361007628,-3.025529903,-3.022095748,-2.956370597,-2.956074585,-2.949194012,-2.955404645,-2.896059439,-3.025399555,-2.956123659,-2.955673518,-2.925641808,-2.893560962,-3.025399555,-2.956123659,-2.955673518,-2.925641808,-2.893560962
4.26,-3.361007658,-3.02552884,-3.022138939,-2.956364564,-2.956071508,-2.9491979,-2.9554033,-2.896002244,-3.025397609,-2.956118919,-2.955671253,-2.925637557,-2.893577276,-3.025397609,-2.956118919,-2.955671253,-2.925637557,-2.893577276
4.27,-3.361007686,-3.02552779,-3.02218161,-2.956358649,-2.956068415,-2.949201822,-2.955401973,-2.895945043,-3.025395691,-2.956114208,-2.955669012,-2.92563324,-2.893593217,-3.025395691,-2.956114208,-2.955669012,-2.92563324,-2.893593217
4.28,-3.361007713,-3.025526751,-3.022223765,-2.956352849,-2.956065305,-2.949205781,-2.955400664,-2.895887834,-3.025393801,-2.956109528,-2.955666795,-2.925628858,-2.893608787,-3.025393801,-2.956109528,-2.955666795,-2.925628858,-2.893608787
4.29,-3.361007738,-3.025525725,-3.02226541,-2.956347164,-2.956062178,-2.949209776,-2.955399372,-2.89583062,-3.025391938,-2.956104878,-2.955664602,-2.925624409,-2.893623984,-3.025391938,-2.956104878,-2.955664602,-2.925624409,-2.893623984
4.3,-3.361007762,-3.02552471,-3.02230655,-2.956341594,-2.956059034,-2.949213811,-2.955398097,-2.8957734,-3.025390102,-2.956100258,-2.955662433,-2.925619895,-2.893638809,-3.025390102,-2.956100258,-2.955662433,-2.925619895,-2.893638809
4.31,-3.361007785,-3.025523707,-3.022347191,-2.956336136,-2.956055874,-2.949217886,-2.955396838,-2.895716176,-3.025388292,-2.956095668,-2.955660287,-2.925615314,-2.893653259,-3.025388292,-2.956095668,-2.955660287,-2.925615314,-2.893653259
4.32,-3.361007806,-3.025522716,-3.022387338,-2.956330791,-2.956052697,-2.949222002,-2.955395597,-2.895658947,-3.025386508,-2.956091107,-2.955658164,-2.925610668,-2.893667336,-3.025386508,-2.956091107,-2.955658164,-2.925610668,-2.893667336
4.33,-3.361007826,-3.025521736,-3.022426995,-2.956325556,-2.956049503,-2.949226162,-2.955394371,-2.895601716,-3.025384751,-2.956086577,-2.955656063,-2.925605955,-2.893681037,-3.025384751,-2.956086577,-2.955656063,-2.925605955,-2.893681037
4.34,-3.361007845,-3.025520766,-3.02246617,-2.95632043,-2.956046294,-2.949230367,-2.955393162,-2.895544482,-3.025383018,-2.956082075,-2.955653982,-2.925601175,-2.893694364,-3.025383018,-2.956082075,-2.955653982,-2.925601175,-2.893694364
4.35,-3.361007863,-3.025519808,-3.022504865,-2.956315412,-2.956043068,-2.949234617,-2.955391968,-2.895487246,-3.025381311,-2.956077604,-2.955651924,-2.92559633,-2.893707314,-3.025381311,-2.956077604,-2.955651924,-2.92559633,-2.893707314
4.36,-3.361007879,-3.025518861,-3.022543088,-2.956310502,-2.956039828,-2.949238915,-2.95539079,-2.895430008,-3.025379627,-2.956073161,-2.955649888,-2.925591419,-2.893719884,-3.025379627,-2.956073161,-2.955649888,-2.925591419,-2.893719884
4.37,-3.361007895,-3.025517924,-3.022580842,-2.956305696,-2.956036572,-2.949243262,-2.955389627,-2.895372771,-3.025377969,-2.956068748,-2.955647873,-2.925586442,-2.893732081,-3.025377969,-2.956068748,-2.955647873,-2.925586442,-2.893732081
4.38,-3.361007909,-3.025516998,-3.022618126,-2.956300994,-2.956033301,-2.949247659,-2.95538848,-2.895315533,-3.025376334,-2.956064365,-2.955645879,-2.925581399,-2.893743901,-3.025376334,-2.956064365,-2.955645879,-2.925581399,-2.893743901
4.39,-3.361007923,-3.025516082,-3.022654959,-2.956296394,-2.956030017,-2.949252106,-2.955387347,-2.895258297,-3.025374722,-2.95606001,-2.955643905,-2.925576289,-2.893755341,-3.025374722,-2.95606001,-2.955643905,-2.925576289,-2.893755341
4.4,-3.361007935,-3.025515177,-3.022691338,-2.956291895,-2.956026719,-2.949256607,-2.955386229,-2.895201062,-3.025373133,-2.956055684,-2.955641951,-2.925571114,-2.893766403,-3.025373133,-2.956055684,-2.955641951,-2.925571114,-2.893766403
4.41,-3.361007947,-3.025514281,-3.022727269,-2.956287495,-2.956023408,-2.949261161,-2.955385125,-2.89514383,-3.025371568,-2.956051387,-2.955640017,-2.925565872,-2.893777085,-3.025371568,-2.956051387,-2.955640017,-2.925565872,-2.893777085
4.42,-3.361007958,-3.025513395,-3.022762757,-2.956283192,-2.956020086,-2.949265771,-2.955384035,-2.8950866,-3.025370024,-2.956047119,-2.955638102,-2.925560564,-2.893787387,-3.025370024,-2.956047119,-2.955638102,-2.925560564,-2.893787387
4.43,-3.361007968,-3.02551252,-3.022797806,-2.956278985,-2.956016752,-2.949270436,-2.95538296,-2.895029374,-3.025368503,-2.95604288,-2.955636206,-2.92555519,-2.893797308,-3.025368503,-2.95604288,-2.955636206,-2.92555519,-2.893797308
4.44,-3.361007977,-3.025511654,-3.022832422,-2.956274871,-2.956013408,-2.94927516,-2.955381898,-2.894972153,-3.025367004,-2.956038669,-2.955634329,-2.925549749,-2.893806847,-3.025367004,-2.956038669,-2.955634329,-2.925549749,-2.893806847
4.45,-3.361007985,-3.025510797,-3.022866608,-2.95627085,-2.956010054,-2.949279942,-2.95538085,-2.894914937,-3.025365525,-2.956034487,-2.95563247,-2.925544243,-2.893816003,-3.025365525,-2.956034487,-2.95563247,-2.925544243,-2.893816003
4.46,-3.361007993,-3.02550995,-3.022900371,-2.956266918,-2.956006692,-2.949284784,-2.955379815,-2.894857727,-3.025364068,-2.956030333,-2.955630629,-2.92553867,-2.893824777,-3.025364068,-2.956030333,-2.955630629,-2.92553867,-2.893824777
4.47,-3.361008,-3.025509112,-3.022933714,-2.956263075,-2.956003322,-2.949289686,-2.955378793,-2.894800523,-3.025362632,-2.956026208,-2.955628806,-2.925533031,-2.893833167,-3.025362632,-2.956026208,-2.955628806,-2.925533031,-2.893833167
4.48,-3.361008007,-3.025508284,-3.022966642,-2.956259318,-2.955999945,-2.949294651,-2.955377784,-2.894743326,-3.025361216,-2.956022111,-2.955627001,-2.925527327,-2.893841172,-3.025361216,-2.956022111,-2.955627001,-2.925527327,-2.893841172
4.49,-3.361008012,-3.025507465,-3.02299916,-2.956255646,-2.955996562,-2.94929968,-2.955376788,-2.894686138,-3.025359821,-2.956018041,-2.955625213,-2.925521556,-2.893848792,-3.025359821,-2.956018041,-2.955625213,-2.925521556,-2.893848792
4.5,-3.361008018,-3.025506654,-3.023031272,-2.956252057,-2.955993175,-2.949304772,-2.955375804,-2.894628919,-3.025358445,-2.956014,-2.955623441,-2.925515719,-2.893856027,-3.025358445,-2.956014,-2.955623441,-2.925515719,-2.893856027
